No,COUNTRY ,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL 
131,"OMAN, SULTANATE OF",842,573,268,306,84,539,"2,171",965,305,209,310,274,"6,846"
,,,,,,,,,,,,,,
132,"PAKISTAN, ISLAMIC REPUBLIC OF","2,099","1,734","1,589","1,384","1,150","1,454","1,924","1,709","1,225","1,381","1,401","2,066","19,116"
133,PALAU,0,0,0,0,0,0,0,5,0,0,0,0,5
134,PALESTINIAN TERRITORIES,114,65,62,51,52,113,167,163,60,77,74,80,"1,078"
135,"PANAMA, REPUBLIC OF",5,7,2,10,3,5,0,3,1,5,9,4,54
136,PAPUA NEW GUINEA,5,0,11,7,2,6,8,18,3,3,8,13,84
137,PARAGUAY,0,0,7,3,0,1,1,2,0,3,2,3,22
138,"PERU, REPUBLIC OF",27,50,32,32,21,6,20,21,20,20,20,32,301
139,"PHILIPPINES, REPUBLIC OF","1,667","1,744","1,775","1,631","1,656","1,673","1,681","1,723","1,306","1,460","1,560","1,427","19,303"
140,POLAND,"3,254","3,195","1,676","1,163",661,710,"1,281","1,021","1,117","1,109","2,658","2,533","20,378"
141,PORTUGAL,486,581,537,524,191,253,337,653,334,601,574,862,"5,933"
,,,,,,,,,,,,,,
142,"QATAR, STATE OF",268,75,63,111,53,183,267,379,56,59,51,111,"1,676"
,,,,,,,,,,,,,,
143,ROMANIA,935,943,561,469,150,205,211,280,303,349,483,"1,042","5,931"
144,RUSSIAN FEDERATION,"11,569","11,043","9,089","4,027","1,264","1,135","1,162","1,174","1,590","3,096","8,090","11,258","64,497"
145,RWANDA,1,3,1,0,1,0,1,6,0,1,1,3,18
,,,,,,,,,,,,,,
146,SAINT KITTS & NEVIS,6,3,4,2,3,0,1,9,3,4,2,10,47
147,SAINT LUCIA,0,2,0,1,0,1,0,1,0,1,0,1,7
148,SAINT VINCENT & THE GRENADINES,0,0,2,1,0,0,0,0,0,0,0,0,3
149,SAMOA,0,0,0,0,1,1,1,0,1,0,0,0,4
150,"SAN MARINO, REPUBLIC OF",1,16,7,0,0,2,0,0,1,0,0,1,28
151,SAO TOME AND PRINCIPE,0,0,0,0,0,1,0,0,0,0,0,0,1
152,"SAUDI ARABIA, KINGDOM OF","4,397","1,065",997,"1,263",666,"5,422","8,409","6,517","1,432","1,030",849,"2,656","34,703"
153,"SENEGAL, REPUBLIC OF",5,6,4,2,4,3,3,4,3,1,3,2,40
154,"SERBIA, REPUBLIC OF",285,282,184,123,47,60,89,115,74,74,178,293,"1,804"
155,SEYCHELLES,0,0,0,411,0,2,0,0,2,0,0,1,416
156,SIERRA LEONE,1,1,2,1,0,1,3,1,3,3,3,0,19
157,"SINGAPORE, REPUBLIC OF","1,387","1,469","1,809","1,357","1,461","1,979","1,563","1,904","1,520","1,219","1,669","2,524","19,861"
158,SLOVAK REPUBLIC,760,820,896,494,153,145,218,259,205,267,543,529,"5,289"
159,SLOVENIA,380,754,271,453,51,107,428,185,174,417,195,487,"3,902"
160,SOLOMAN ISLANDS,1,0,0,1,0,5,0,3,1,2,0,0,13
161,"SOMALIA, FEDERAL REPUBLIC OF",9,6,9,5,3,11,6,4,12,4,9,14,92
162,"SOUTH AFRICA, REPUBLIC OF",588,562,791,742,259,520,598,457,413,354,380,"1,752","7,416"
163,SOUTH KOREA,"2,493","1,359","1,398",825,892,963,"1,444","1,583",970,"1,066","1,444","1,311","15,748"
164,"SOUTH SUDAN, REPUBLIC OF",0,1,0,2,1,0,0,1,5,0,0,7,17
165,SPAIN,"1,388","1,680","2,452","2,072","1,002","1,516","3,357","5,782","2,926","2,178","2,604","2,251","29,208"
166,SUDAN,59,49,53,37,52,100,115,67,142,24,88,72,858
167,SURINAME,1,3,0,1,1,1,0,5,8,4,4,0,28
168,SWAZILAND,0,1,1,9,1,0,2,0,0,0,1,1,16
169,SWEDEN,"5,586","4,533","3,109","1,073",471,889,"1,206",665,651,"1,234","2,016","6,834","28,267"
170,SWITZERLAND,"3,104","3,234","3,682","2,845","1,128","1,342","5,460","1,744","1,824","1,974","3,531","4,097","33,965"
171,SYRIAN ARAB REPUBLIC,19,8,24,32,6,3,2,5,13,25,23,49,209
,,,,,,,,,,,,,,
172,TAIWAN (REPUBLIC OF CHINA),928,"1,152",700,607,565,412,924,794,474,465,569,597,"8,187"
173,"TAJIKISTAN, REPUBLIC OF",25,7,25,8,3,4,4,0,7,6,11,2,102
174,"TANZANIA, UNITED REPUBLIC OF",18,20,16,15,16,29,13,25,10,18,22,25,227
175,"THAILAND, KINGDOM OF",785,566,"1,028",691,745,870,807,823,658,581,593,"1,031","9,178"
176,"TIMOR-LESTE, DEMOCRATIC REPUBLIC OF",1,3,3,5,1,2,9,16,3,3,1,1,48
177,TOGO,3,0,0,2,0,1,1,0,1,2,0,0,10
178,TONGA,0,0,0,0,0,1,2,2,0,2,1,2,10
179,TRINIDAD & TOBAGO,5,9,10,8,4,9,16,2,7,6,21,8,105
180,"TUNISIA, REPUBLIC OF",71,62,105,56,29,39,49,45,57,29,66,104,712
181,"TURKEY, REPUBLIC OF",658,632,365,244,288,169,249,375,181,234,236,631,"4,262"
182,TURKMENISTAN,15,9,11,3,1,0,13,5,1,8,5,6,77
183,TUVALU,0,0,0,2,0,3,1,0,0,1,0,0,7
,,,,,,,,,,,,,,
184,UGANDA,15,22,5,5,6,5,13,11,6,16,19,13,136
185,UKRAINE,"6,636","5,138","3,532","2,448","1,386","1,191","1,409","1,513","2,292","2,687","3,449","4,834","36,515"
186,UNITED ARAB EMIRATES,336,247,420,291,230,488,"1,199","1,045",279,296,412,542,"5,785"
187,UNITED KINGDOM,"22,940","23,817","30,366","26,063","9,337","12,104","25,208","23,643","14,226","17,673","21,971","26,828","254,176"
188,UNITED STATES OF AMERICA,"7,501","5,984","9,701","8,679","4,123","4,979","7,164","4,410","4,406","3,714","5,799","8,848","75,308"
189,"URUGUAY, ORIENTAL REPUBLIC OF",13,3,16,34,6,3,3,8,7,7,9,11,120
190,"UZBEKISTAN, REPUBLIC OF",69,88,48,24,26,30,70,36,74,40,44,47,596
,,,,,,,,,,,,,,
191,"VANUATU, REPUBLIC OF",0,1,1,4,1,3,2,2,1,1,1,0,17
192,"VATICAN CITY, STATE OF",0,0,0,0,0,0,0,0,0,0,0,0,0
193,"VENEZUELA, BOLIVARIAN REPUBLIC OF",12,18,18,40,16,11,11,33,11,18,13,26,227
194,VIETNAM,237,380,330,342,269,212,241,298,222,272,200,186,"3,189"
,,,,,,,,,,,,,,
195,"YEMEN, REPUBLIC OF",126,69,64,62,62,156,249,244,57,76,74,128,"1,367"
196,"ZAMBIA, REPUBLIC OF",2,7,12,3,6,5,11,5,6,8,45,9,119
197,"ZIMBABWE, REPUBLIC OF ",10,19,27,11,16,9,46,19,35,12,17,26,247
TOTAL,,"238,924","235,618","233,382","180,429","129,466","146,828","217,829","200,359","149,087","153,123","195,582","253,169","2,333,796"
